bid,studyid,animid,animname,momonly,birthdate,bdmin,bdmax,bddist,birthgroup,bgqual,firstborn,mombid,momid,sex,entrydate,entrytype,departdate,departtype,departdateerror
33862,2,NUT,NUTTY,f,1995-08-17,1995-08-17,1995-08-17,U,1.1,C,Y,,,F,1995-08-17,B,2009-09-02,D,"0"
12361,3,Diam,Diamond,f,1995-08-29,1995-08-29,1995-08-29,U,Tw,C,N,,,F,1995-08-29,B,2010-06-15,D,"0"
13084,7,ALIE,Alien,f,1996-01-02,1996-01-02,1996-01-02,N,LV,C,Y,13085,KATH,M,1996-01-15,B,2012-03-27,P,"0.04"
13704,6,80-4,,f,1996-07-03,1996-07-03,1996-07-03,U,VV,C,N,11691,80,U,1996-07-03,B,1996-07-03,D,"0.08"
9672,1,BRS,Brasa,f,1996-07-04,1996-07-04,1996-07-04,N,Matão,C,N,9653,BR,F,1996-07-05,B,1999-02-17,D,"0"
13709,6,86-3,,f,1996-07-30,1996-07-30,1996-07-30,U,PP,C,N,,,U,1996-07-30,B,1996-07-30,D,"0.08"
13710,6,86-4,,f,1997-07-15,1997-07-15,1997-07-15,U,PP,C,N,,,U,1997-07-15,B,1997-12-08,D,"0.08"
11876,6,314,,f,1997-08-01,1997-08-01,1997-08-01,U,VV,C,N,11691,80,F,1997-08-01,B,2011-08-15,D,"0.33"
33934,2,NJU,NJUGU,f,1997-10-29,1997-10-29,1997-10-29,U,2.1,C,N,,,M,1997-10-29,B,2009-11-22,D,"0.011"
12648,3,Tip,Tip,f,1998-01-28,1998-01-27,1998-01-30,U,Gn,C,N,,,M,1998-01-30,B,2014-08-07,O,"0"
13155,7,MAYO,Mayo,f,1998-05-02,1998-05-02,1998-05-02,N,LV,C,N,13085,KATH,F,1998-05-02,B,2004-07-15,D,"0"
34702,4,CAD,CADBURY,f,1998-10-29,1998-10-14,1998-11-12,N,KK,C,N,,,M,1998-11-13,B,2001-07-01,D,"0.07"
15288,5,TMR,Twemere,f,1998-12-01,1998-12-01,1998-12-01,U,Pablo,C,N,15289,MAG,F,1998-12-01,B,1999-03-18,D,"0.12"
9673,1,BRE,Brenda,f,1999-05-29,1999-05-29,1999-05-29,N,Matão,C,N,9653,BR,F,1999-05-29,B,2002-04-10,D,"0"
13711,6,86-5,,f,1999-07-09,1999-07-09,1999-07-09,U,PP,C,N,,,U,1999-07-09,B,1999-07-09,D,"0.08"
13126,7,CT--,Chutney,f,1999-08-02,1999-08-02,1999-08-02,N,LV,C,N,,,F,1999-08-02,B,2015-03-31,O,"0"
15299,5,AFR,Afrika,f,2000-04-20,2000-04-20,2000-04-20,U,Pablo,C,N,15289,MAG,F,2000-04-20,B,2013-08-10,E,"0"
11937,6,403,,f,2000-07-17,2000-07-17,2000-07-17,U,PP,C,N,,,F,2000-07-17,B,2013-07-15,O,"0"
12664,3,Mick,Mickey,f,2001-04-23,2001-04-22,2001-04-24,U,Gn,C,N,,,M,2001-04-24,B,2008-06-19,E,"0"
11975,6,467,,f,2001-07-07,2001-07-07,2001-07-07,U,VV,C,N,11691,80,M,2001-07-07,B,2008-10-15,P,"0.08"
13712,6,86-6,,f,2001-07-11,2001-07-11,2001-07-11,U,PP,C,N,,,U,2001-07-11,B,2002-01-31,D,"0.08"
12494,3,Plat,Plato,f,2002-03-20,2002-03-20,2002-03-21,U,Tw,C,Y,,,M,2002-03-21,B,2006-03-02,D,"0"
11992,6,497,,f,2002-07-15,2002-07-15,2002-07-15,U,PP,C,N,,,F,2002-07-15,B,2013-07-15,O,"0"
9674,1,BRN,Branca,f,2002-07-20,2002-07-20,2002-07-20,N,Matão,C,N,9653,BR,F,2002-07-20,B,2004-04-20,D,"0"
9670,1,BRL-J,Brasil,f,2002-08-19,2002-08-18,2002-08-20,N,Jaó,C,Y,9669,BRAH,M,2002-08-20,B,2014-09-29,O,"0"
13713,6,86-7,,f,2003-07-31,2003-07-31,2003-07-31,U,PP,C,N,,,U,2003-07-31,B,2003-07-31,D,"0.08"
15414,5,TBA,Turibamwe,f,2003-09-25,2003-09-25,2003-09-25,U,Pablo,C,N,15289,MAG,F,2003-09-25,B,2013-08-10,E,"0"
12523,3,Linc,Lincoln,f,2004-04-30,2004-04-30,2004-04-30,U,Gs,C,N,,,M,2004-04-30,B,2006-01-09,D,"0"
11985,6,483,,f,2004-07-23,2004-07-23,2004-07-23,U,VV,C,N,11691,80,M,2004-07-23,B,2007-07-15,D,"0.08"
9675,1,BN,Breno,f,2004-08-02,2004-07-22,2004-08-14,U,Matão,C,N,9653,BR,M,2004-08-14,B,2005-06-14,D,"0"
12497,3,Ambo,Amboseli,f,2005-02-08,2005-02-08,2005-02-08,U,Twn,C,N,,,F,2005-02-08,B,2006-11-28,D,"0"
12039,6,576,,f,2005-07-10,2005-07-10,2005-07-10,U,PP,C,N,,,M,2005-07-10,B,2009-12-15,P,"0.08"
9676,1,BM,Bruma,f,2006-04-14,2006-04-12,2006-04-17,U,Matão,C,N,9653,BR,F,2006-04-17,B,2014-08-27,O,"0"
13714,6,86-8,,f,2006-08-02,2006-08-02,2006-08-02,U,PP,C,N,,,U,2006-08-02,B,2006-10-02,D,"0.08"
15360,5,I61,Infant-61,f,2006-10-08,2006-10-08,2006-10-08,U,Pablo,C,N,15289,MAG,M,2006-10-08,B,2006-11-13,D,"0"
16644,5,I71,Infant 71,f,2007-12-23,2007-12-23,2007-12-23,N,Bwenge,C,N,15289,MAG,U,2007-12-23,B,2007-12-24,D,"0"
16682,1,BER,Bera,f,2008-06-16,2008-06-15,2008-06-16,U,Matão,C,N,9653,BR,F,2008-06-16,B,2014-09-29,O,"0"
16642,5,I84,Infant 84,f,2008-12-09,2008-12-09,2008-12-09,N,Bwenge,C,N,15289,MAG,F,2008-12-09,B,2008-12-24,D,"0"
